Species.names
Achillea millefolium
Agropyron smithii
Amorpha canescens
Andropogon gerardi
Asclepias tuberosa
Elymus canadensis
Koeleria cristata
Lespedeza capitata
Liatris aspera
Lupinus perennis
Monarda fistulosa
Panicum virgatum
Petalostemum candidum
Petalostemum purpureum
Petalostemum villosum
Poa pratensis
Quercus ellipsoidalis
Quercus macrocarpa
Schizachyrium scoparium
Solidago rigida
Sorghastrum nutans
