"SpeciesID","Vi","thetai"
1,5209.73603464983,2.22054746298046
2,7499.59779689508,1.7804997104765
3,1482.82395504892,4.16488232802817
4,5286.54435195779,2.39471948694889
5,9079.24135542557,1.47047243752565
6,7175.78754685127,2.13345237283248
7,9075.97722401438,1.49158880726481
8,5558.43677853387,2.48250977964063
9,3314.4976631597,2.59647922718932
10,2736.77560054397,3.31563614035559
11,5495.92062016828,1.80826780025085
12,4591.15530851809,2.49945406319059
13,5770.67224641973,1.80463908227324
14,6395.89776336387,1.98597798709064
15,3353.08618622618,3.55034178416028
16,5985.76564642036,2.05424478805357
17,3874.42540277346,2.99686426043839
18,2869.25714262617,2.67817451784072
19,4980.66953671392,2.05433923370426
20,2468.12195159691,2.31827338856305
21,6235.91643448124,2.01283998330366
22,922.951669737275,4.27829358528803
23,4856.1983657945,2.45552773198233
24,6645.89467045284,1.95353170675595
25,8015.86633865667,1.66257005687062
26,11832.9225229429,1.34898065574645
27,3482.65657715664,2.89532770100678
28,6346.58012817033,1.67021272458204
29,4842.27036238632,2.24101386911458
30,8307.01293772771,1.63400140770701
31,3459.90701014974,2.5052977480612
32,2545.90458385879,3.166410143507
33,3118.42913925539,2.30513755139934
34,6058.96999211406,1.97762383815592
35,3257.92113380058,2.7224501124361
36,7828.20775072345,1.95763207640175
37,4064.97523180303,2.64556871567403
38,4904.47748338921,2.69953308520669
39,5785.44942869866,1.78137605661173
40,7520.64796785055,1.80563540988236
41,5427.77476526753,2.45284132102736
42,4552.15668517128,1.95468960446914
43,3340.97271769381,3.43801191312953
44,12134.8713890574,1.45654502344575
45,4922.56860728139,2.30645495208303
46,2276.69409760206,3.20900403856786
47,1730.56373267097,2.82677050883197
48,6911.14815656203,2.59543578697667
49,5196.37093410872,1.99992194621865
50,4777.14796853103,1.95785197301239
51,1625.55777037344,3.35097461748998
52,3750.07851500544,2.96821900986399
53,2965.25267902353,3.34389764661746
54,7687.34378262313,1.77964622473089
55,7719.58250826027,2.02139363184987
56,5055.19746113502,2.48935060226316
57,3382.2651062548,2.48287008557958
58,4366.01219626065,2.47632003932909
59,4554.06191377045,2.61488108648596
60,6465.31098764874,1.77712247271588
61,6751.16745230394,1.68172084331162
62,3531.6227735956,3.08569494045926
63,5514.95479643874,1.85404839457772
64,4399.49366182715,2.12449647241156
