5.138355 5.13581 5.132236 5.12761 5.121906
5.115098 5.10716 5.098068 5.087797 5.07632
5.063612 5.049648 5.034403 5.017851 4.999967
4.980725 4.960114 4.938185 4.914999 4.89062
4.865113 4.838539 4.810964 4.78245 4.75306
4.722859 4.69191 4.660276 4.62802 4.595207
4.561899 4.528161 4.494055 4.459645 4.424995
4.390168 4.355227 4.320236 4.285259 4.250359
4.215599 4.181043 4.146755 4.112797 4.079234
4.046113 4.013418 3.981118 3.949180 3.917575
3.886269 3.855232 3.824432 3.793837 3.763416
3.733137 3.702969 3.67288 3.642838 3.612813
3.582772 3.552683 3.522516 3.492239 3.461819
3.431227 3.400429 3.369395 3.338092 3.306490
3.274557 3.242261 3.209571 3.176455 3.142892
3.108902 3.074516 3.039766 3.004682 2.969295
2.933637 2.897737 2.861627 2.825339 2.788902
2.752347 2.715707 2.679011 2.64229 2.605576
2.568899 2.532291 2.495782 2.459403 2.423185
2.387159 2.351356 2.315807 2.280542 2.245594
2.210992 2.176767 2.142951 2.109575 2.076668
2.044258 2.012346 1.980930 1.950006 1.919574
1.889628 1.860168 1.831189 1.802690 1.774668
1.747119 1.720042 1.693433 1.667289 1.641608
1.616388 1.591625 1.567316 1.543460 1.520052
1.497091 1.474574 1.452497 1.430859 1.409656
1.388886 1.368546 1.348633 1.329144 1.310077
1.291429 1.273199 1.255388 1.238000 1.221038
1.204506 1.188406 1.172743 1.15752 1.142740
1.128405 1.114521 1.101089 1.088114 1.075598
1.063546 1.051960 1.040843 1.030199 1.020032
1.010345 1.001140 0.9924222 0.9841938 0.9764584
0.9692195 0.9624803 0.9562442 0.9505144 0.9452945
0.9405876 0.9363962 0.9327187 0.9295526 0.9268953
0.9247444 0.9230972 0.9219514 0.9213043 0.9211534
0.9214961 0.9223301 0.9236527 0.9254614 0.9277537
0.930527 0.933779 0.9375068 0.9417082 0.9463805
0.9515213 0.9571279 0.963198 0.9697288 0.976718
0.9841629 0.9920611 1.00041 1.009207 1.01845
1.028136 1.038263 1.048831 1.059841 1.071292
1.083185 1.09552 1.108298 1.121519 1.135184
1.149292 1.163844 1.178841 1.194282 1.210169
1.226500 1.243278 1.260502 1.278172 1.296289
1.314853 1.333865 1.353324 1.373232 1.393588
1.414393 1.435647 1.457351 1.479504 1.502108
1.525163 1.548668 1.572624 1.597031 1.621881
1.647164 1.672873 1.698999 1.725533 1.752466
1.779790 1.807495 1.835574 1.864017 1.892816
1.921961 1.951446 1.981259 2.011393 2.04184
2.07259 2.103634 2.134965 2.166573 2.198449
2.230585 2.262972 2.295602 2.328465 2.361553
2.394858 2.428370 2.462080 2.495981 2.53006
2.564307 2.598711 2.633261 2.667945 2.702753
2.737673 2.772694 2.807806 2.842996 2.878255
2.913571 2.948932 2.984328 3.019748 3.055181
3.090614 3.126038 3.161442 3.196813 3.232142
3.267416 3.302625 3.337759 3.372804 3.407752
3.442589 3.477307 3.511892 3.546335 3.580627
3.61476 3.648726 3.682515 3.716121 3.749535
3.782748 3.815753 3.848541 3.881104 3.913434
3.945522 3.977361 4.008942 4.040257 4.071298
4.102056 4.132524 4.162692 4.192554 4.2221
4.251322 4.280213 4.308764 4.336966 4.364812
4.392294 4.419402 4.44613 4.472468 4.498409
4.523946 4.549073 4.573783 4.59807 4.621928
4.645349 4.668328 4.690859 4.712934 4.734548
4.755694 4.776366 4.796557 4.816261 4.835472
4.854183 4.872387 4.890079 4.907251 4.923898
4.940014 4.955591 4.970623 4.985104 4.999028
5.012388 5.025178 5.037391 5.049021 5.060061
5.070503 5.080323 5.089497 5.097998 5.105802
5.112884 5.119217 5.124776 5.129537 5.133473
5.136559 5.13877 5.140081 5.140465 5.139899
